numerical_notes_text,numerical_notes_summary,raga
"[0, 0, 0, 2, 2, 11, 2, 4, 7, 7, 7, 7, 7, 9, 9, 9, 11, 11, 11, 9, 9, 9, 9, 9, 9, 9, 9, 9, 11, 11, 11]","[0, 2, 4, 7, 9, 0, 11, 9]",Shankarabharanam
"[0, 0, 0, 2, 2, 4, 4, 4, 7, 7, 7, 9, 9, 11, 0, 0, 11, 11, 11, 9, 9, 9, 9, 9, 9, 9, 4, 11, 11, 11, 11]","[0, 2, 4, 7, 9, 0, 11, 9]",Shankarabharanam
"[0, 0, 0, 2, 2, 11, 2, 2, 7, 7, 9, 7, 9, 9, 0, 0, 11, 11, 11, 9, 9, 9, 9, 9, 9, 9, 9, 11, 11, 11, 11]","[0, 2, 4, 7, 9, 0, 11, 9]",Shankarabharanam
"[0, 0, 0, 2, 2, 11, 2, 4, 7, 7, 7, 7, 9, 9, 9, 9, 11, 11, 11, 9, 9, 9, 9, 9, 9, 9, 9, 9, 11, 11, 11]","[0, 2, 4, 7, 9, 0, 11, 9]",Shankarabharanam
"[0, 0, 0, 2, 2, 11, 2, 2, 7, 7, 9, 7, 9, 9, 0, 0, 11, 11, 11, 9, 9, 9, 9, 9, 9, 9, 9, 0, 0, 0, 0]","[0, 2, 4, 7, 9, 0, 11, 9]",Shankarabharanam
"[7, 7, 9, 9, 7, 7, 7, 5, 5, 4, 4, 4, 2, 2, 2, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0]","[7, 9, 7, 5, 4, 2, 0, 2]",Shankarabharanam
"[2, 7, 9, 9, 7, 7, 7, 5, 5, 4, 4, 4, 2, 2, 2, 0, 0, 0, 2, 2, 2, 2, 2, 2, 9, 2, 11, 11, 11]","[7, 9, 7, 5, 4, 2, 0, 2]",Shankarabharanam
"[0, 0, 11, 11, 11, 9, 9, 9, 0, 0, 0, 0, 0, 0, 2, 2, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 11, 11]","[7, 9, 7, 5, 4, 2, 0, 2]",Shankarabharanam
"[0, 0, 0, 0, 0, 9, 1, 9, 0, 0, 0, 0, 0, 2, 2, 4, 4, 4, 4, 7, 2, 7, 7, 7, 2, 11, 11, 11, 11]","[7, 9, 7, 5, 4, 2, 0, 2]",Shankarabharanam
"[2, 2, 9, 9, 7, 7, 7, 5, 5, 4, 4, 4, 2, 4, 2, 0, 0, 0, 2, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0]","[7, 9, 7, 5, 4, 2, 0, 2]",Shankarabharanam
"[0, 0, 0, 0, 0, 9, 1, 9, 0, 0, 0, 0, 0, 2, 2, 4, 4, 4, 4, 7, 7, 7, 11, 7, 2, 7, 11, 11, 11]","[0, 11, 9, 0, 0, 2, 4, 7]",Shankarabharanam
"[0, 0, 11, 0, 0, 9, 9, 9, 0, 0, 0, 0, 0, 0, 0, 2, 4, 4, 7, 4, 7, 7, 0, 0, 0, 7, 11, 11, 11]","[0, 11, 9, 0, 0, 2, 4, 7]",Shankarabharanam
"[0, 0, 11, 11, 11, 9, 9, 9, 0, 0, 0, 0, 0, 0, 2, 2, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 11, 11]","[0, 11, 9, 0, 0, 2, 4, 7]",Shankarabharanam
"[0, 0, 0, 0, 0, 9, 1, 9, 0, 0, 0, 0, 0, 2, 2, 4, 4, 4, 4, 7, 2, 7, 7, 7, 2, 11, 11, 11, 11]","[0, 11, 9, 0, 0, 2, 4, 7]",Shankarabharanam
"[0, 0, 0, 0, 0, 9, 9, 9, 0, 0, 0, 0, 0, 2, 0, 2, 4, 4, 7, 4, 7, 7, 0, 0, 0, 0, 0, 0, 0]","[0, 11, 9, 0, 0, 2, 4, 7]",Shankarabharanam
"[5, 5, 4, 4, 4, 7, 7, 7, 7, 7, 2, 2, 0, 0, 2, 11, 11, 9, 9, 9, 9, 9, 9, 9, 9, 9, 0, 0, 0]","[5, 4, 7, 9, 2, 0, 11, 9]",Shankarabharanam
